MatchId,SummonerId,SummonerLevel,QueuesRanks,ChampionName,Mastery,LastTimeChampionPlayed,Summoner1,Summoner2,Role,Team
EUW1_6387169299,L6FwjWwghAgGIErXCpxrhGvl0rJlkGGLCo7d30KmvnbHylRk,362,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'IV'}]",Neeko,38180,1683141241000,4,14,MIDDLE,Red
EUW1_6387169299,n1PYjXVuRe8crKg0kVhm4jd5S0aQ8E9R29YUml-gIJu1lUA,331,"[{'queueType': 'RANKED_TFT_DOUBLE_UP', 'tier': 'PLATINUM', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'IV'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'IV'}]",Amumu,29775,1685553772000,4,11,JUNGLE,Red
EUW1_6387169299,jn11vFv-fjYDDc5BSSb8skeSu5h7qcbKK23JIAp8ij6Fd4Y,490,"[{'queueType': 'RANKED_TFT_DOUBLE_UP', 'tier': 'PLATINUM', 'rank': 'III'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'DIAMOND', 'rank': 'IV'}]",Camille,29579,1683141236000,12,14,TOP,Red
EUW1_6387169299,7I-2OIZf0J_6SiQ9BEG2BOc2lcwDLzwaxECtBSpPTrZpCi4,413,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'II'}]",Yasuo,130226,1683749584000,4,14,BOTTOM,Red
EUW1_6387169299,SJOgxMzMijLewVuQGGhYPI2u26Y9_uG_lihpv-Fg0ncew-Zd,545,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'II'}]",Malphite,129728,1684949271000,14,4,UTILITY,Red
EUW1_6387169299,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,435,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",Shyvana,30482,1683141248000,12,4,TOP,Blue
EUW1_6387169299,Okewj07LR9R44jVeQvbB6CD1AAcGefgSAPyQ1aIl-0C0Ttw,116,[],Rengar,108453,1685026085000,11,4,JUNGLE,Blue
EUW1_6387169299,CyL1MjY834I09IdMtpAwb7-zsDA_46vZD_l5xcJPR8_a74I,269,[],Vladimir,33490,1684256986000,6,4,MIDDLE,Blue
EUW1_6387169299,OAQ422MdHTeqObABVDaWn-ESMJHxuSOytiVpgVM7d7ex3iU,500,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Ezreal,205104,1684620404000,3,4,BOTTOM,Blue
EUW1_6387169299,Q_mm2vTfvYGbHdrxAAE9RhbMKVI52knTyX6vAOPuaPR8m6M,359,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Bard,982579,1685278595000,14,4,UTILITY,Blue
